Название аптеки;Категория;Название товара;Цена (руб.);Производитель;Ссылка на товар
farmakopeika;Кровь, кровообращение;Амлодипин+Валсартан 5мг+80мг табл п/пл/о №30;376;-;https://farmakopeika.ru/catalog/2510/1339418
farmakopeika;Кровь, кровообращение;Амлодипин+Валсартан 5мг+80мг табл п/пл/о №90;720;-;https://farmakopeika.ru/catalog/2510/1339346
farmakopeika;Кровь, кровообращение;Амлотоп 10мг табл №30;172;-;https://farmakopeika.ru/catalog/2510/1279647
farmakopeika;Кровь, кровообращение;Амлотоп 5мг табл №30;113;-;https://farmakopeika.ru/catalog/2503/1279635
farmakopeika;Кровь, кровообращение;Амоксициллин 500мг табл №20;113;-;https://farmakopeika.ru/catalog/2510/1319585
farmakopeika;Кровь, кровообращение;Амоксициллин 500мг табл №20;122;-;https://farmakopeika.ru/catalog/2510/1335548
farmakopeika;Кровь, кровообращение;Амоксициллин ЭКСПРЕСС 1000мг табл дисперг №20;519;-;https://farmakopeika.ru/catalog/2510/1322469
farmakopeika;Кровь, кровообращение;Амоксициллин-АКОС 500мг табл №20;141;-;https://farmakopeika.ru/catalog/2510/1325873
farmakopeika;Кровь, кровообращение;Амприлан 10мг табл №30;172;-;https://farmakopeika.ru/catalog/2503/1274723
farmakopeika;Кровь, кровообращение;Амприлан 2,5мг табл №30;61;-;https://farmakopeika.ru/catalog/2503/1274724
farmakopeika;Кровь, кровообращение;Амприлан 5мг табл №30;70;-;https://farmakopeika.ru/catalog/2503/1274885
farmakopeika;Кровь, кровообращение;Амприлан НД 5мг+25мг табл №30;496;-;https://farmakopeika.ru/catalog/2503/1276436
farmakopeika;Кровь, кровообращение;Анаприлин 10мг табл №100 блист;42;-;https://farmakopeika.ru/catalog/2510/1325837
farmakopeika;Кровь, кровообращение;Анаприлин 10мг табл №50;18;-;https://farmakopeika.ru/catalog/2503/1310554
farmakopeika;Кровь, кровообращение;Анаприлин 10мг табл №50;25;-;https://farmakopeika.ru/catalog/2440/1311888
farmakopeika;Кровь, кровообращение;Анаприлин 10мг табл №50;18;-;https://farmakopeika.ru/catalog/2440/1313881
farmakopeika;Кровь, кровообращение;Анаприлин 40мг табл №100;127;-;https://farmakopeika.ru/catalog/2510/1335221
farmakopeika;Кровь, кровообращение;Анаприлин 40мг табл №112;137;-;https://farmakopeika.ru/catalog/2503/1312169
farmakopeika;Кровь, кровообращение;Анаприлин 40мг табл №50;59;-;https://farmakopeika.ru/catalog/2503/1314203
farmakopeika;Кровь, кровообращение;Анаприлин 40мг табл №50;29;-;https://farmakopeika.ru/catalog/2510/1336334
farmakopeika;Кровь, кровообращение;Анаприлин Реневал 10мг табл №112;53;-;https://farmakopeika.ru/catalog/2503/1314204
farmakopeika;Кровь, кровообращение;Анаприлин Реневал 40мг табл №112;96;-;https://farmakopeika.ru/catalog/2503/1313882
farmakopeika;Кровь, кровообращение;Ангиовит табл п/о №60;250;-;https://farmakopeika.ru/catalog/2509/1273614
farmakopeika;Кровь, кровообращение;АнгиоНорм 100мг табл п/о №100;542;-;https://farmakopeika.ru/catalog/2504/1282685
farmakopeika;Кровь, кровообращение;Андипал табл №10;25;-;https://farmakopeika.ru/catalog/2510/1285828
farmakopeika;Кровь, кровообращение;Андипал табл №10;28;-;https://farmakopeika.ru/catalog/2510/1320732
farmakopeika;Кровь, кровообращение;Андипал табл №20;96;-;https://farmakopeika.ru/catalog/2503/1303765
farmakopeika;Кровь, кровообращение;Андипал табл №20;40;-;https://farmakopeika.ru/catalog/2510/1331323
farmakopeika;Кровь, кровообращение;Антистен МВ 35мг табл п/пл/о пролонг №60;365;-;https://farmakopeika.ru/catalog/2503/1278330
farmakopeika;Кровь, кровообращение;Апроваск 10мг+150мг табл п/пл/о №28;748;-;https://farmakopeika.ru/catalog/2503/1281406
farmakopeika;Кровь, кровообращение;Апроваск 10мг+300мг табл п/пл/о №28;972;-;https://farmakopeika.ru/catalog/2503/1281405
farmakopeika;Кровь, кровообращение;Апроваск 5мг+150мг табл п/пл/о №28;708;-;https://farmakopeika.ru/catalog/2510/1312871
farmakopeika;Кровь, кровообращение;Апроваск 5мг+300мг табл п/пл/о №28;928;-;https://farmakopeika.ru/catalog/2503/1281407
farmakopeika;Кровь, кровообращение;Апровель 150мг табл п/пл/о №28;687;-;https://farmakopeika.ru/catalog/2503/1277994
farmakopeika;Кровь, кровообращение;Апровель 300мг табл п/пл/о №28;911;-;https://farmakopeika.ru/catalog/2510/1279233
farmakopeika;Кровь, кровообращение;Арифам 10мг+1,5мг табл п/пл/о модиф/высвоб №30;551;-;https://farmakopeika.ru/catalog/2503/1289458
farmakopeika;Кровь, кровообращение;Арифам 5мг+1,5мг табл п/пл/о модиф высвоб №30;502;-;https://farmakopeika.ru/catalog/2503/1289457
farmakopeika;Кровь, кровообращение;Арифон 2,5мг табл п/пл/о №30;185;-;https://farmakopeika.ru/catalog/2503/1271184
farmakopeika;Кровь, кровообращение;Арифон ретард 1,5мг табл п/пл/о пролонг №30;188;-;https://farmakopeika.ru/catalog/2511/1311420
